IsBadBuy,PurchDate,Auction,VehYear,VehicleAge,Make,Model,Trim,SubModel,Color,Transmission,WheelTypeID,WheelType,VehOdo,Nationality,Size,MMRAcquisitionAuctionAveragePrice,VehBCost,WarrantyCost
0,12/8/2010,MANHEIM,2003,7.0,HONDA,ACCORD 4C,LX,4D SEDAN LX 5SP,GREEN,AUTO,,,52036.0,TOP LINE ASIAN,MEDIUM,5314.0,8050.0,805
0,11/16/2010,MANHEIM,2006,4.0,DODGE,CARAVAN FWD V6,SE,MINIVAN 3.3L,WHITE,AUTO,,,61225.0,AMERICAN,VAN,4897.0,5470.0,1411
0,9/2/2009,MANHEIM,2003,6.0,CHEVROLET,IMPALA 3.4L V6 SFI,Bas,4D SEDAN,GOLD,AUTO,,,96939.0,AMERICAN,LARGE,3134.0,4000.0,2651
0,5/26/2009,OTHER,2005,4.0,CHRYSLER,PT CRUISER 2.4L I4 S,Tou,4D SEDAN,SILVER,AUTO,2.0,Covers,68316.0,AMERICAN,MEDIUM,4273.0,5205.0,1215
0,2/24/2009,ADESA,2004,5.0,FORD,F150 PICKUP 2WD V8 5,XLT,CREW CAB 5.4L LARIAT,WHITE,AUTO,,,61815.0,AMERICAN,LARGE TRUCK,11499.0,11495.0,728
0,8/18/2009,MANHEIM,2006,3.0,NISSAN,MAXIMA 3.5L V6 MPI /,SE,4D SEDAN SE,WHITE,AUTO,1.0,Alloy,71630.0,TOP LINE ASIAN,LARGE,14146.0,11050.0,1155
0,2/17/2009,MANHEIM,2006,3.0,SATURN,VUE 2WD 4C 2.2L I4 M,,4D CUV 2.2L,GREEN,AUTO,2.0,Covers,52679.0,AMERICAN,MEDIUM SUV,6969.0,7330.0,1251
0,9/16/2010,OTHER,2006,4.0,DODGE,CHARGER,Bas,4D SEDAN,SILVER,AUTO,2.0,Covers,79702.0,AMERICAN,SPECIALTY,8073.0,8030.0,1389
0,6/30/2010,MANHEIM,2005,5.0,CHRYSLER,300,Bas,4D SEDAN,SILVER,AUTO,,,82832.0,AMERICAN,SPECIALTY,7673.0,9850.0,1503
0,11/24/2009,MANHEIM,2006,3.0,PONTIAC,VIBE,Bas,4D WAGON,BLUE,AUTO,2.0,Covers,82419.0,AMERICAN,MEDIUM,6018.0,5865.0,594
0,7/7/2010,ADESA,2004,6.0,FORD,TAURUS,SE,4D SEDAN SE,WHITE,AUTO,1.0,Alloy,73795.0,AMERICAN,MEDIUM,3082.0,4800.0,920
0,3/13/2009,MANHEIM,2006,3.0,CHEVROLET,AVEO 1.6L I-4 EFI DO,LS,4D SEDAN LS,RED,AUTO,2.0,Covers,50146.0,AMERICAN,COMPACT,4601.0,4940.0,671
0,5/21/2009,MANHEIM,2004,5.0,CHRYSLER,SEBRING 4C 2.4L I-4,Bas,2D CONVERTIBLE,GOLD,AUTO,2.0,Covers,50555.0,AMERICAN,MEDIUM,3734.0,5330.0,920
0,7/30/2009,MANHEIM,2005,4.0,HYUNDAI,SANTA FE 4WD V6 2.7L,GLS,4D CUV 2.7L GLS,SILVER,AUTO,1.0,Alloy,73840.0,OTHER ASIAN,MEDIUM SUV,7210.0,7240.0,1155
0,11/8/2010,MANHEIM,2007,3.0,DODGE,CALIBER,Bas,4D WAGON,WHITE,AUTO,2.0,Covers,91049.0,AMERICAN,MEDIUM,5694.0,5000.0,1053
0,11/18/2010,MANHEIM,2002,8.0,CHEVROLET,CAMARO V6,Bas,2D COUPE,BEIGE,AUTO,1.0,Alloy,73482.0,AMERICAN,SPORTS,4236.0,5425.0,2799
0,4/21/2009,MANHEIM,2004,5.0,DODGE,STRATUS 4C 2.4L I4 M,SE,4D SEDAN,BLUE,AUTO,2.0,Covers,50220.0,AMERICAN,MEDIUM,2636.0,5500.0,920
0,11/23/2010,OTHER,2005,5.0,FORD,FREESTAR FWD V6,SEL,PASSENGER 3.9L SEL,GOLD,AUTO,1.0,Alloy,74793.0,AMERICAN,VAN,4979.0,5965.0,1506
1,3/4/2010,ADESA,2007,3.0,TOYOTA,CAMRY V6,LE,4D SEDAN LE,GREY,AUTO,,,80763.0,TOP LINE ASIAN,MEDIUM,10537.0,9800.0,594
0,2/12/2009,MANHEIM,2004,5.0,DODGE,DURANGO 4WD V8 4.7L,SLT,4D SUV 4.7L,BLUE,AUTO,1.0,Alloy,79802.0,AMERICAN,MEDIUM SUV,7147.0,8255.0,1623
0,3/24/2010,OTHER,2008,2.0,DODGE,CALIBER,SE,4D WAGON,GOLD,AUTO,2.0,Covers,47720.0,AMERICAN,MEDIUM,7964.0,7500.0,693
0,10/20/2010,ADESA,2006,4.0,SUZUKI,FORENZA,,4D SEDAN,WHITE,AUTO,,,57364.0,OTHER ASIAN,MEDIUM,3652.0,4695.0,505
0,10/28/2010,OTHER,2007,3.0,CHEVROLET,IMPALA,LS,4D SEDAN LS,SILVER,AUTO,2.0,Covers,69795.0,AMERICAN,LARGE,7575.0,7000.0,1703
0,1/28/2009,MANHEIM,2005,4.0,CHRYSLER,SEBRING V6 2.7L V6 M,Tou,2D CONVERTIBLE TOURING,WHITE,AUTO,1.0,Alloy,71947.0,AMERICAN,MEDIUM,5438.0,4460.0,1272
0,10/19/2010,ADESA,2004,6.0,CHRYSLER,PACIFICA AWD,,4D SPORT TOURER,GREEN,AUTO,,,88184.0,AMERICAN,CROSSOVER,6687.0,9205.0,2022
0,10/12/2010,MANHEIM,2007,3.0,DODGE,CALIBER,SXT,4D WAGON SXT,BLUE,AUTO,,,60887.0,AMERICAN,MEDIUM,6622.0,7710.0,825
0,8/19/2009,ADESA,2005,4.0,CHRYSLER,PACIFICA FWD 3.8L V6,Bas,4D SPORT,BLUE,AUTO,2.0,Covers,82412.0,AMERICAN,CROSSOVER,0.0,7200.0,1503
0,2/8/2010,OTHER,2005,5.0,CHEVROLET,IMPALA,Bas,4D SEDAN,WHITE,AUTO,,,54040.0,AMERICAN,LARGE,4131.0,6505.0,1500
0,7/7/2010,MANHEIM,2004,6.0,CHEVROLET,TRACKER 4WD V6,Bas,4D SUV HARDTOP 2.5L,SILVER,AUTO,1.0,Alloy,66672.0,AMERICAN,SMALL SUV,5853.0,7270.0,1118
0,5/19/2010,MANHEIM,2006,4.0,CHEVROLET,COBALT,LS,4D SEDAN LS,SILVER,AUTO,,,65180.0,AMERICAN,COMPACT,4780.0,6255.0,728
0,9/29/2010,ADESA,2007,3.0,KIA,SEDONA,EX,4D WAGON EX,SILVER,AUTO,,,87469.0,OTHER ASIAN,VAN,10619.0,7990.0,1503
0,8/6/2009,ADESA,2002,7.0,HONDA,CIVIC 1.7L I-4 MPI S,LX,4D SEDAN LX 5SP,GREY,MANUAL,2.0,Covers,93599.0,TOP LINE ASIAN,COMPACT,3320.0,5440.0,1065
0,5/24/2010,OTHER,2009,1.0,CHRYSLER,SEBRING 4C,LX,4D SEDAN,BLUE,AUTO,2.0,Covers,40744.0,AMERICAN,MEDIUM,9120.0,9200.0,834
0,5/19/2009,OTHER,2002,7.0,GMC,YUKON XL 1500 2WD 5.,150,4D UTILITY 5.3L SLE,GREY,AUTO,,,77512.0,AMERICAN,LARGE SUV,5833.0,8475.0,1923
0,8/5/2010,OTHER,2003,7.0,BUICK,REGAL,LS,4D SEDAN LS,BROWN,AUTO,1.0,Alloy,97739.0,AMERICAN,MEDIUM,3175.0,4370.0,2651
0,7/14/2009,MANHEIM,2005,4.0,CHEVROLET,TRAILBLAZER 4WD 6C 4,LS,4D SUV 4.2L LS,BLUE,AUTO,1.0,Alloy,78204.0,AMERICAN,MEDIUM SUV,9145.0,7285.0,1974
1,11/4/2009,OTHER,2005,4.0,KIA,SPECTRA,EX,4D SEDAN EX,SILVER,AUTO,,,75701.0,OTHER ASIAN,MEDIUM,3953.0,4700.0,569
0,4/15/2010,ADESA,2006,4.0,KIA,SPECTRA,EX,4D SEDAN,SILVER,AUTO,2.0,Covers,,OTHER ASIAN,MEDIUM,5101.0,5405.0,505
1,3/10/2010,OTHER,2003,7.0,FORD,WINDSTAR FWD V6,LX,PASSENGER 3.8L,WHITE,AUTO,2.0,Covers,76920.0,AMERICAN,VAN,3400.0,4500.0,2157
1,10/22/2009,ADESA,2004,5.0,MINI,COOPER 1.6L I4 EFI,Bas,2D COUPE,WHITE,AUTO,1.0,Alloy,70100.0,OTHER,COMPACT,8388.0,8725.0,2976
0,4/2/2010,OTHER,2003,7.0,FORD,ESCAPE 2WD V6,XLT,4D CUV 3.0L XLT,WHITE,AUTO,1.0,Alloy,88843.0,AMERICAN,SMALL SUV,4799.0,6685.0,1283
0,12/2/2009,ADESA,2007,2.0,SUZUKI,FORENZA,,4D SEDAN,BLACK,AUTO,2.0,Covers,49184.0,OTHER ASIAN,MEDIUM,4935.0,5900.0,482
0,2/25/2010,MANHEIM,2003,7.0,MINI,COOPER,Bas,2D COUPE,GREEN,MANUAL,2.0,Covers,74327.0,OTHER,COMPACT,6932.0,7520.0,3276
0,5/12/2009,MANHEIM,2003,6.0,TOYOTA,HIGHLANDER 2WD V6 3.,Lim,4D SPORT UTILITY,GOLD,AUTO,1.0,Alloy,76226.0,TOP LINE ASIAN,MEDIUM SUV,7750.0,8555.0,869
0,10/6/2010,ADESA,2008,2.0,MITSUBISHI,LANCER,ES,4D SEDAN ES,GREY,AUTO,3.0,Special,81018.0,OTHER ASIAN,COMPACT,8023.0,7290.0,594
1,8/18/2010,MANHEIM,2006,4.0,DODGE,CARAVAN FWD 4C,SE,MINIVAN 2.4L,RED,AUTO,2.0,Covers,63292.0,AMERICAN,VAN,5449.0,6500.0,1411
0,2/12/2009,ADESA,2004,5.0,DODGE,DURANGO 2WD V6 3.7L,SLT,4D SUV 3.7L SLT,GREY,AUTO,,,52469.0,AMERICAN,MEDIUM SUV,6447.0,9500.0,1003
1,2/3/2010,MANHEIM,2006,4.0,CHRYSLER,PT CRUISER,Tou,4D SEDAN,WHITE,AUTO,1.0,Alloy,65800.0,AMERICAN,MEDIUM,4926.0,5705.0,1215
0,4/10/2009,MANHEIM,2002,7.0,DODGE,CARAVAN FWD V6 3.3L,SE,MINIVAN 3.3L FFV SE,SILVER,AUTO,2.0,Covers,18440.0,AMERICAN,VAN,2622.0,5000.0,1301
0,3/22/2010,MANHEIM,2008,2.0,CHEVROLET,IMPALA V6,LS,4D SEDAN LS 3.5L FFV,RED,AUTO,,,72801.0,AMERICAN,LARGE,9055.0,8500.0,1974
0,1/5/2010,OTHER,2004,6.0,NISSAN,ALTIMA,SE,4D SEDAN SE,GREY,AUTO,1.0,Alloy,84573.0,TOP LINE ASIAN,MEDIUM,5954.0,6465.0,723
1,8/6/2009,ADESA,2001,8.0,BUICK,LE SABRE Unspecified,Lim,4D SEDAN LIMITED,BLUE,AUTO,,,,AMERICAN,LARGE,3878.0,3805.0,2939
0,11/18/2009,MANHEIM,2007,2.0,PONTIAC,GRAND PRIX,Bas,4D SEDAN,SILVER,AUTO,1.0,Alloy,71131.0,AMERICAN,LARGE,7313.0,7740.0,1974
0,1/20/2010,MANHEIM,2005,5.0,DODGE,DURANGO 4WD V8,ST,4D SUV 4.7L,MAROON,AUTO,2.0,Covers,74630.0,AMERICAN,MEDIUM SUV,7970.0,9165.0,1623
0,6/15/2010,MANHEIM,2006,4.0,CHRYSLER,PT CRUISER,Bas,4D SEDAN,BLACK,AUTO,2.0,Covers,69170.0,AMERICAN,MEDIUM,4990.0,5835.0,1215
0,10/7/2009,OTHER,2005,4.0,CHEVROLET,MALIBU 4C 2.2L I4 MP,Cla,4D SEDAN CLASSIC,GOLD,AUTO,2.0,Covers,80458.0,AMERICAN,MEDIUM,3760.0,5025.0,1243
0,1/20/2010,ADESA,2007,3.0,DODGE,CARAVAN GRAND FWD V6,SXT,MINIVAN 3.8L SXT,WHITE,AUTO,,,82914.0,AMERICAN,VAN,11277.0,7740.0,1763
0,10/15/2009,ADESA,2006,3.0,DODGE,STRATUS 4C 2.4L I4 S,SXT,4D SEDAN,SILVER,AUTO,,,86509.0,AMERICAN,MEDIUM,4713.0,4740.0,1243
0,10/12/2010,ADESA,2008,2.0,MERCURY,SABLE,Bas,4D SEDAN,BLACK,AUTO,1.0,Alloy,84825.0,AMERICAN,MEDIUM,12450.0,8845.0,983
1,2/25/2009,MANHEIM,2006,3.0,CHEVROLET,IMPALA 3.9L V6 SFI,LT,4D SEDAN LT 3.9L,WHITE,AUTO,1.0,Alloy,74951.0,AMERICAN,LARGE,8562.0,7800.0,1974
0,9/22/2010,MANHEIM,2005,5.0,SUZUKI,RENO,EX,4D SEDAN,BLUE,AUTO,3.0,Special,52653.0,OTHER ASIAN,COMPACT,3195.0,5350.0,505
0,6/11/2010,OTHER,2008,2.0,DODGE,CALIBER,SE,4D WAGON,SILVER,AUTO,2.0,Covers,81209.0,AMERICAN,MEDIUM,7882.0,6995.0,983
0,1/11/2010,MANHEIM,2004,6.0,SATURN,ION,3,2D QUAD COUPE LEVEL 2,WHITE,AUTO,1.0,Alloy,58602.0,AMERICAN,MEDIUM,3808.0,5700.0,671
0,3/2/2009,MANHEIM,2005,4.0,DODGE,NEON 2.0L I4 SFI,SE,4D SEDAN,RED,AUTO,1.0,Alloy,54327.0,AMERICAN,COMPACT,4136.0,4765.0,588
1,12/10/2009,MANHEIM,2005,4.0,DODGE,1500 RAM PICKUP 2WD,SLT,QUAD CAB 4.7L SLT,BLACK,AUTO,1.0,Alloy,82635.0,AMERICAN,LARGE TRUCK,8055.0,9880.0,983
0,5/20/2009,MANHEIM,2006,3.0,FORD,FIVE HUNDRED 3.0L V6,SEL,4D SEDAN SEL,SILVER,AUTO,1.0,Alloy,89572.0,AMERICAN,LARGE,10033.0,6065.0,1633
0,1/13/2009,MANHEIM,2002,7.0,MITSUBISHI,MONTERO 4WD V6 3.5L,Lim,4D SPORT UTILITY LIMITED,WHITE,AUTO,1.0,Alloy,69905.0,OTHER ASIAN,LARGE SUV,7156.0,7395.0,1028
0,4/15/2009,MANHEIM,2006,3.0,FORD,F150 PICKUP 2WD V6 4,STX,REG CAB 4.2L XL,WHITE,AUTO,1.0,Alloy,73404.0,AMERICAN,LARGE TRUCK,7488.0,6190.0,569
0,2/5/2010,OTHER,2005,5.0,FORD,MUSTANG V6,Bas,2D CONVERTIBLE,SILVER,AUTO,,,48270.0,AMERICAN,SPORTS,9254.0,9700.0,623
0,5/5/2009,MANHEIM,2007,2.0,PONTIAC,G6 V6 3.5L V6 MFI /,Bas,4D SEDAN SE1,WHITE,AUTO,1.0,Alloy,59489.0,AMERICAN,MEDIUM,8578.0,7695.0,1003
1,1/19/2010,MANHEIM,2006,4.0,HYUNDAI,ELANTRA,GLS,4D SEDAN,GREY,AUTO,2.0,Covers,63647.0,OTHER ASIAN,MEDIUM,4689.0,5485.0,533
0,11/29/2010,MANHEIM,2004,6.0,DODGE,STRATUS V6,SE,4D SEDAN,WHITE,AUTO,1.0,Alloy,67656.0,AMERICAN,MEDIUM,2565.0,5300.0,1215
0,11/18/2010,ADESA,2004,6.0,OLDSMOBILE,ALERO 4C,GL,2D COUPE GL2,GOLD,AUTO,1.0,Alloy,89408.0,AMERICAN,MEDIUM,4132.0,3665.0,1633
0,3/6/2009,MANHEIM,2004,5.0,FORD,TAURUS 3.0L V6 EFI D,SEL,4D WAGON SE COMFORT DURATEC,RED,AUTO,1.0,Alloy,79633.0,AMERICAN,MEDIUM,4800.0,4850.0,920
0,4/21/2009,MANHEIM,2007,2.0,DODGE,CALIBER 2.0L I4 SFI,Bas,4D WAGON,GREY,AUTO,2.0,Covers,64264.0,AMERICAN,MEDIUM,7925.0,6830.0,825
0,11/3/2010,OTHER,2009,1.0,CHRYSLER,PT CRUISER,Bas,4D SEDAN,SILVER,AUTO,,,36483.0,AMERICAN,MEDIUM,7127.0,7000.0,882
0,11/23/2009,MANHEIM,2006,3.0,KIA,SORENTO 2WD,EX,4D SPORT UTILITY EX,RED,AUTO,1.0,Alloy,,OTHER ASIAN,MEDIUM SUV,7919.0,7950.0,1508
0,10/21/2009,MANHEIM,2004,5.0,FORD,EXPEDITION 2WD V8 4.,XLS,4D SUV 4.6L XLS,BLUE,AUTO,,,43890.0,AMERICAN,LARGE SUV,7889.0,9390.0,764
0,2/17/2009,MANHEIM,2006,3.0,CHEVROLET,IMPALA 3.5L V6 SFI,LS,4D SEDAN LS,BLUE,AUTO,,,72756.0,AMERICAN,LARGE,6707.0,6680.0,1974
0,4/7/2010,OTHER,2007,3.0,CHRYSLER,PT CRUISER,Tou,4D SEDAN,SILVER,AUTO,1.0,Alloy,53364.0,AMERICAN,MEDIUM,6123.0,6585.0,1086
0,1/21/2010,OTHER,2008,2.0,DODGE,CALIBER,SE,4D WAGON,BLACK,AUTO,2.0,Covers,52332.0,AMERICAN,MEDIUM,7048.0,6300.0,754
0,3/2/2010,OTHER,2008,2.0,DODGE,CALIBER,SE,4D WAGON,RED,AUTO,2.0,Covers,50280.0,AMERICAN,MEDIUM,7908.0,7100.0,754
0,12/7/2010,OTHER,2006,4.0,CHEVROLET,EQUINOX FWD V6,LT,4D SUV LT,GREY,AUTO,,,84136.0,AMERICAN,MEDIUM SUV,7710.0,8475.0,1503
0,10/26/2009,OTHER,2004,5.0,FORD,FREESTAR FWD V6 3.9L,SE,PASSENGER 3.9L LX,WHITE,AUTO,2.0,Covers,83315.0,AMERICAN,VAN,4329.0,5000.0,1633
0,11/4/2009,MANHEIM,2004,5.0,NISSAN,SENTRA,S,4D SEDAN 1.8S,GREY,AUTO,2.0,Covers,75067.0,TOP LINE ASIAN,COMPACT,3838.0,6025.0,569
1,12/15/2010,MANHEIM,2006,4.0,CHEVROLET,EQUINOX AWD V6,LT,4D SUV LT,GREY,AUTO,1.0,Alloy,92734.0,AMERICAN,MEDIUM SUV,9493.0,7900.0,1774
0,7/28/2010,MANHEIM,2003,7.0,MITSUBISHI,LANCER,ES,4D SEDAN ES,WHITE,MANUAL,2.0,Covers,69565.0,OTHER ASIAN,COMPACT,2389.0,4785.0,833
0,4/9/2009,MANHEIM,2003,6.0,SATURN,L SERIES 3.0L V6 EFI,LW3,4D WAGON LW300,SILVER,AUTO,1.0,Alloy,44095.0,AMERICAN,MEDIUM,3959.0,5930.0,1769
0,9/15/2010,MANHEIM,2004,6.0,DODGE,1500 RAM PICKUP 2WD,ST,QUAD CAB 5.7L,RED,AUTO,1.0,Alloy,83478.0,AMERICAN,LARGE TRUCK,7688.0,11105.0,983
1,7/7/2010,OTHER,2001,9.0,JEEP,CHEROKEE 2WD 6C,Lim,4D WAGON CLASSIC,WHITE,AUTO,1.0,Alloy,77797.0,AMERICAN,MEDIUM SUV,3615.0,6200.0,1455
0,11/3/2010,OTHER,2009,1.0,SCION,XB,Bas,4D WAGON,SILVER,AUTO,2.0,Covers,51507.0,OTHER ASIAN,MEDIUM,11939.0,9390.0,505
0,6/22/2010,MANHEIM,2006,4.0,PONTIAC,GRAND PRIX,Bas,4D SEDAN,WHITE,AUTO,,,65396.0,AMERICAN,LARGE,6361.0,7895.0,1703
0,9/23/2009,MANHEIM,2006,3.0,CHEVROLET,MALIBU V6 3.5L V6 SF,LS,4D SEDAN LS,BLACK,AUTO,2.0,Covers,69925.0,AMERICAN,MEDIUM,5862.0,6900.0,1118
0,5/13/2009,MANHEIM,2007,2.0,CHEVROLET,UPLANDER FWD V6 3.9L,LS,PASSENGER 3.5L LS,WHITE,AUTO,2.0,Covers,74189.0,AMERICAN,VAN,6591.0,6330.0,2091
0,4/22/2010,MANHEIM,2004,6.0,DODGE,STRATUS 4C,SE,4D SEDAN SE,WHITE,AUTO,,,83022.0,AMERICAN,MEDIUM,3065.0,4255.0,1243
0,1/20/2010,ADESA,2006,4.0,FORD,FUSION 4C,SEL,4D SEDAN SEL,BROWN,AUTO,1.0,Alloy,65306.0,AMERICAN,MEDIUM,7594.0,7980.0,728
0,5/21/2009,MANHEIM,2004,5.0,DODGE,STRATUS V6 2.7L V6 M,SE,4D SEDAN SE,BLUE,AUTO,2.0,Covers,39812.0,AMERICAN,MEDIUM,4481.0,5500.0,882
0,3/10/2009,MANHEIM,2004,5.0,PONTIAC,GRAND PRIX 3.8L V6 S,GT,4D SEDAN GT2,WHITE,AUTO,,,70438.0,AMERICAN,LARGE,5960.0,7370.0,1974
0,5/25/2010,MANHEIM,2004,6.0,CHEVROLET,AVEO,LS,4D SEDAN,BLUE,AUTO,,,40601.0,AMERICAN,COMPACT,3076.0,4965.0,623
0,9/2/2009,ADESA,2004,5.0,FORD,EXPEDITION 2WD V8 4.,XLS,4D SUV 4.6L XLS,RED,AUTO,3.0,Special,59222.0,AMERICAN,LARGE SUV,8546.0,11370.0,837
0,8/5/2010,OTHER,2004,6.0,CHEVROLET,MALIBU 4C,Cla,4D SEDAN CLASSIC,WHITE,AUTO,2.0,Covers,84726.0,AMERICAN,MEDIUM,2807.0,4120.0,1243
1,2/18/2009,MANHEIM,2003,6.0,FORD,FOCUS 2.0L I4 SPI,LX,4D SEDAN LX,BLUE,AUTO,2.0,Covers,54967.0,AMERICAN,COMPACT,2863.0,3720.0,1220
0,7/22/2010,MANHEIM,2005,5.0,SATURN,ION,3,4D SEDAN LEVEL 3,GREY,MANUAL,1.0,Alloy,80534.0,AMERICAN,MEDIUM,4379.0,3545.0,853
